CREATE TABLE Puzzle (_id INTEGER PRIMARY KEY,  difficulty VARCHAR(10), number INTEGER, pattern VARCHAR(82), time VARCHAR(10));
INSERT INTO Puzzle values('30', 'easy', '30', '730050000081460070290030080600004000417893652000500003060080015070045930000010026', '0');
INSERT INTO Puzzle values('31', 'easy', '31', '080407903079023005200000104042005000950000017000900540108000006700680430604502080', '0');
INSERT INTO Puzzle values('32', 'easy', '32', '060005004007000000850147300320510008701384602500079031008453069000000800900700010', '0');
INSERT INTO Puzzle values('33', 'easy', '33', '000056072610084000250791400030000094700060001420000050002179043000640015840530000', '0');
INSERT INTO Puzzle values('34', 'easy', '34', '106072009280300600059006007090640003070080060600097010900700320003004078700130406', '0');
INSERT INTO Puzzle values('35', 'easy', '35', '002096010500800009890501304200703000709010203000904001107409085900007002030280100', '0');
INSERT INTO Puzzle values('36', 'easy', '36', '090800046007904020402000089001070050026508310050090200630000401040706800270003090', '0');
INSERT INTO Puzzle values('37', 'easy', '37', '280030000015804000703000010507009864300426001461700309050000902000503480000040057', '0');
INSERT INTO Puzzle values('38', 'easy', '38', '040870629028609040090200007600500014000080000170002008200008060050106930963025080', '0');
INSERT INTO Puzzle values('39', 'easy', '39', '173008002006704090000100705300079040007302500040650008408005000090406800500900624', '0');
INSERT INTO Puzzle values('40', 'easy', '40', '308000450705809001690105070000400030150000042030008000040507083500901704072000105', '0');
INSERT INTO Puzzle values('41', 'easy', '41', '800900000691804720027000080483010000005209800000050174040000960039406257000005008', '0');
INSERT INTO Puzzle values('42', 'easy', '42', '530094201940000000700020500820917300003040800004283057001030005000000013309570082', '0');
INSERT INTO Puzzle values('43', 'easy', '43', '009050060080006050160040038800620004270815096600039007430090025010200070020080600', '0');
INSERT INTO Puzzle values('44', 'easy', '44', '000040100400060527007200890706052900020496070003180402035008200698020003004030000', '0');
INSERT INTO Puzzle values('45', 'easy', '45', '000001400819000006002070081390027045640030029270410038960040500100000294004100000', '0');
INSERT INTO Puzzle values('46', 'easy', '46', '987002050000703680000910420600001030001635900030200006072049000058106000090500142', '0');
INSERT INTO Puzzle values('47', 'easy', '47', '020003519509000308013000704090705206000010000205904030901000870308000902752300040', '0');
INSERT INTO Puzzle values('48', 'easy', '48', '400300210219004000007100506503000160980030025024000908706003400000900681058002007', '0');
INSERT INTO Puzzle values('49', 'easy', '49', '604801050000074006095030100003956008400080007500147600006010470800460000040705809', '0');
INSERT INTO Puzzle values('50', 'easy', '50', '091005070870046090600000000050680403204713905108054060000000009040560028080400730', '0');
INSERT INTO Puzzle values('51', 'easy', '51', '260090100009408250000000406135870002070010030900045671803000000091704500002080064', '0');
INSERT INTO Puzzle values('52', 'easy', '52', '000709804098000000700085396402090070570030081060070509856910007000000940907302000', '0');
INSERT INTO Puzzle values('53', 'easy', '53', '305070009000091003219005080093002000860513042000900350050600138700130000100050406', '0');
INSERT INTO Puzzle values('54', 'easy', '54', '400610500010230600903000040600502409007103200204806001070000906009065020006087004', '0');
INSERT INTO Puzzle values('55', 'easy', '55', '001004203647002000000107054502000761700010002134000509410203000000900425809600100', '0');
INSERT INTO Puzzle values('56', 'easy', '56', '780091063036800209000003080000000432010584090649000000060700000503008970970430051', '0');
INSERT INTO Puzzle values('57', 'easy', '57', '300207001000000234000031609608900057900304006420008103803120000174000000200409008', '0');
INSERT INTO Puzzle values('58', 'easy', '58', '000070048870004000000508032403680570097010280082095403250309000000100024960020000', '0');
INSERT INTO Puzzle values('59', 'easy', '59', '600257400004960037001000500370500960400070008056003042009000200830012600007396005', '0');
INSERT INTO Puzzle values('60', 'easy', '60', '004023000700000020200105007840600275967050481152007096500806004070000009000570100', '0');
INSERT INTO Puzzle values('61', 'easy', '61', '538001907170004000406800015081000000760040051000000870610003502000400063302100794', '0');
INSERT INTO Puzzle values('62', 'easy', '62', '000208900403019002025670000009820347000090000748056100000062730200730801007105000', '0');
INSERT INTO Puzzle values('63', 'easy', '63', '000402960100000007069073420400087500800124006002390004058730640700000003031206000', '0');
INSERT INTO Puzzle values('64', 'easy', '64', '600800019009650003080017640003080020018020350090030100021370060700068200850004001', '0');
INSERT INTO Puzzle values('65', 'easy', '65', '019000340080390001603018000021060093900000007730080420000570204300049060064000710', '0');
INSERT INTO Puzzle values('66', 'easy', '66', '457000962360000000090024500005960204040070080201043600009480010000000026714000859', '0');
INSERT INTO Puzzle values('67', 'easy', '67', '070340105015670280806000000400000700598060432007000009000000806054096320603027090', '0');
INSERT INTO Puzzle values('68', 'easy', '68', '506703000020019005107005834030007068000090000950300020385200409700950080000801702', '0');
INSERT INTO Puzzle values('69', 'easy', '69', '025000030000503010400820500010908326240030081386702050002079005050206000060000890', '0');
INSERT INTO Puzzle values('70', 'easy', '70', '543072006006538020008041000000100008005723600900004000000410800080257300400380562', '0');
INSERT INTO Puzzle values('71', 'easy', '71', '200000045904006800000510302500421080090857030020369004605043000002100708710000003', '0');
INSERT INTO Puzzle values('72', 'easy', '72', '000625043000070200070038091020000960907256308061000020250890070006040000490567000', '0');
INSERT INTO Puzzle values('73', 'easy', '73', '507900200200673100000010879701520090000090000040037502395040000004769005006002901', '0');
INSERT INTO Puzzle values('74', 'easy', '74', '000007695790800030003012708007080003040321050100070800209140300010003082375200000', '0');
INSERT INTO Puzzle values('75', 'easy', '75', '000910703200807900710400000907183050030000070020675309000008094002704005504091000', '0');
INSERT INTO Puzzle values('76', 'easy', '76', '000003076300000095000900810017236009930504028500798630098005000160000002420800000', '0');
INSERT INTO Puzzle values('77', 'easy', '77', '600319700509002810012000009080030400070896020005070090800000940097400106001987005', '0');
INSERT INTO Puzzle values('78', 'easy', '78', '100205400000803200000700168500071604020648090904350001813009000007506000005107002', '0');
INSERT INTO Puzzle values('79', 'easy', '79', '780960150340000070091004300005070001008621700100050900004800560050000097079032018', '0');
INSERT INTO Puzzle values('80', 'easy', '80', '000000238503008009900134070256001004008050700700900581020319006300600407865000000', '0');
INSERT INTO Puzzle values('81', 'easy', '81', '004531000000709500905080306000645170007020600012897000406070201008204000000356900', '0');
INSERT INTO Puzzle values('82', 'easy', '82', '270010000063950000054070102000091240800627003092530000405080630000043580000060027', '0');
INSERT INTO Puzzle values('83', 'easy', '83', '040000967005060400916004050800310045020000070350027009060400538003050700582000090', '0');
INSERT INTO Puzzle values('84', 'easy', '84', '300109000209050400587200910000001090705402801090500000062008375001020609000704002', '0');
INSERT INTO Puzzle values('85', 'easy', '85', '517003000940002015000500007095307060608010503030206940300009000870600024000400359', '0');
INSERT INTO Puzzle values('86', 'easy', '86', '050032190009007003030900005301204000590108024000309601900001030100800700086740010', '0');
INSERT INTO Puzzle values('87', 'easy', '87', '000007031006080759001092040038700002250040073400008910080470100642010300710900000', '0');
INSERT INTO Puzzle values('88', 'easy', '88', '009000604230010058480600200807200065003060400960001807008003042190020076304000500', '0');
INSERT INTO Puzzle values('89', 'easy', '89', '003560402080030916600100000960052030004000500010870049000005003396080050207094800', '0');
INSERT INTO Puzzle values('90', 'easy', '90', '070050900903028004208041006005004000621030498000800500400270805300480609002060040', '0');
INSERT INTO Puzzle values('91', 'easy', '91', '093000000081070043705040698010200300064000250002008010279060401540010870000000960', '0');
INSERT INTO Puzzle values('92', 'easy', '92', '649002057000000006058000000900426578004517900572398004000000390200000000480200761', '0');
INSERT INTO Puzzle values('93', 'easy', '93', '052090870018600092739000605000004500800030007003700000206000758390008120085070430', '0');
INSERT INTO Puzzle values('94', 'easy', '94', '100520400250100637098006500030000026007060300640000070002600950576009084009052003', '0');
INSERT INTO Puzzle values('95', 'easy', '95', '010070023506204007000010850002007386060000040893400500024050000300809702680020090', '0');
INSERT INTO Puzzle values('96', 'easy', '96', '807000900010904008009080200050002863270809014468300090006050400700206050005000306', '0');
INSERT INTO Puzzle values('97', 'easy', '97', '007200800009704025010800790406080007300651008100090302043006080560903200001008400', '0');
INSERT INTO Puzzle values('98', 'easy', '98', '100500603092010005350004070080351000906040507000697040030200056800070320205006009', '0');
INSERT INTO Puzzle values('99', 'easy', '99', '043517000800020040900004065480750600005000100006048037170900003060030002000475810', '0');
INSERT INTO Puzzle values('100', 'easy', '100', '794003005020080400000429060010060573000175000275030040060791000007050030800300712', '0');
INSERT INTO Puzzle values('101', 'easy', '101', '001027086070908105200600307050200000060719050000005010807006002906402070510870600', '0');
INSERT INTO Puzzle values('102', 'easy', '102', '930010750750308900600095000002501000480020091000904800000150007009803046073060089', '0');
INSERT INTO Puzzle values('103', 'easy', '103', '350700620690300007427100050500270000010000080000098006030006571100007092074005068', '0');
INSERT INTO Puzzle values('104', 'easy', '104', '103000009090200506650197420200019000010050030000430001042375068801006050300000907', '0');
INSERT INTO Puzzle values('105', 'easy', '105', '300528146085000903100003708003805000000040000000209800906100007708000410231487005', '0');
INSERT INTO Puzzle values('106', 'easy', '106', '480060029006000400000104086600042930050691070094370002740206000009000100160050047', '0');
INSERT INTO Puzzle values('107', 'easy', '107', '000001200010624039000008560450910080380000074020087095071200000590136020004800000', '0');
INSERT INTO Puzzle values('108', 'easy', '108', '380500007057980302000000600092075010510090068040130250008000000901053820400006031', '0');
INSERT INTO Puzzle values('109', 'easy', '109', '005007006700060032003048000871600093030709060290005478000870300310090005600100700', '0');
INSERT INTO Puzzle values('110', 'easy', '110', '460583010803090400900047060300018090000070000090360004070820006002030701030751042', '0');
INSERT INTO Puzzle values('111', 'easy', '111', '670810020000629075920030801000003000017060530000100000502040087480751000030098056', '0');
INSERT INTO Puzzle values('112', 'easy', '112', '305004600864300970010000305070830400600020009003067010501000060036008194007100203', '0');
INSERT INTO Puzzle values('113', 'easy', '113', '004000200062090040070260080008300017731489625590002800020048060080030490009000300', '0');
INSERT INTO Puzzle values('114', 'easy', '114', '300600020001900750007502089100239004400080002900764003510806200083001600060007008', '0');
INSERT INTO Puzzle values('115', 'easy', '115', '083170000010605000700002000432900078876000591590007234000500003000408060000023810', '0');
INSERT INTO Puzzle values('116', 'easy', '116', '800160000070034609900050130408075000730000056000380907047090001605410090000028005', '0');
INSERT INTO Puzzle values('117', 'easy', '117', '301264090900007263020003005008070000009641800000050400800700010495100002010426509', '0');
INSERT INTO Puzzle values('118', 'easy', '118', '001002090690001280000496035080000072107000503240000010470639000056800029010200300', '0');
INSERT INTO Puzzle values('119', 'easy', '119', '002070035058430700970085000407003010005040600090100408000320081009016240720090300', '0');
INSERT INTO Puzzle values('120', 'easy', '120', '001003860750100430036042010000009001090438050300500000010380290073004086049600100', '0');
INSERT INTO Puzzle values('121', 'easy', '121', '000100300006083409003040002005300094948625173230009500800060700709830600004001000', '0');
INSERT INTO Puzzle values('122', 'easy', '122', '004593260000700030003800007307240008900305002600089304200007400080001000065428100', '0');
INSERT INTO Puzzle values('123', 'easy', '123', '000000008980073400720985600060002040147050326090400010009731084001620093400000000', '0');
INSERT INTO Puzzle values('124', 'easy', '124', '000802000702090100980100407590000274800524009324000081201008043008040702000207000', '0');
INSERT INTO Puzzle values('125', 'easy', '125', '600038010000401609005260478500003900009000500001800004458016700206907000070580006', '0');
INSERT INTO Puzzle values('126', 'easy', '126', '080010500000000002592078410600004907957030248208900006023460791400000000005090020', '0');
INSERT INTO Puzzle values('127', 'easy', '127', '810623050605400000000510003409160020001030400020054109100096000000005701090241036', '0');
INSERT INTO Puzzle values('128', 'easy', '128', '800203500042000300537960002009045013000000000780610400200058637008000920006709001', '0');
INSERT INTO Puzzle values('129', 'easy', '129', '040600020508210003300804700073000801080179030205000940007405009800021304030006050', '0');
INSERT INTO Puzzle values('130', 'easy', '130', '100830960453006200900015000030002008001708600200100050000450006005600142064021007', '0');
INSERT INTO Puzzle values('131', 'easy', '131', '508000000490300208302879000006030027027000580950020600000567109705003062000000704', '0');
INSERT INTO Puzzle values('132', 'easy', '132', '300000000015400263280090100600871300037020680001635004008060019492008530000000002', '0');
INSERT INTO Puzzle values('133', 'easy', '133', '080010039107030002000408017046300901030060040701004350670105000400080705950070060', '0');
INSERT INTO Puzzle values('134', 'easy', '134', '080029030094785260000600000050800310807010609041002080000001000018376950060490070', '0');
INSERT INTO Puzzle values('135', 'easy', '135', '046009503328706000001084600010000008209000705800000090007890300000405871403600950', '0');
INSERT INTO Puzzle values('136', 'easy', '136', '085010700007008103003900020070104096601030407540709080030005600104600500006040970', '0');
INSERT INTO Puzzle values('137', 'easy', '137', '095084030400000007830906500950200008608070305300008092009801053100000006060430810', '0');
INSERT INTO Puzzle values('138', 'easy', '138', '600270090100830457000509002000003169001080300397600000900408000738095006040067001', '0');
INSERT INTO Puzzle values('139', 'easy', '139', '084001009001500438900700000060820050105903207070045090000002005852009700400300960', '0');
INSERT INTO Puzzle values('140', 'easy', '140', '009520610300016009070849500030050006600070002200090030007482090900160004021037800', '0');
INSERT INTO Puzzle values('141', 'easy', '141', '000840907079050031403700800002900006506080209300005100008007602730060590605098000', '0');
INSERT INTO Puzzle values('142', 'easy', '142', '009201485084300200500489000060500010200090004040006030000718006001002570476903100', '0');
INSERT INTO Puzzle values('143', 'easy', '143', '007043080280790000105600907900050001506070308300010004709001805000082019050960400', '0');
INSERT INTO Puzzle values('144', 'easy', '144', '000060900920008315080203000200010758700632009194050006000301090342500071009040000', '0');
INSERT INTO Puzzle values('145', 'easy', '145', '070050400005078091091320000980000130040805070036000084000019540310580700009060010', '0');
INSERT INTO Puzzle values('146', 'easy', '146', '009001036002000017571060090243000050050214060010000742090050174120000600760100900', '0');
INSERT INTO Puzzle values('147', 'easy', '147', '509410000201903000600000901300870520708050609054026007802000003000201805000048702', '0');
INSERT INTO Puzzle values('148', 'easy', '148', '300000074090130000570600010086002543030859060125400980050006098000091050210000006', '0');
INSERT INTO Puzzle values('149', 'easy', '149', '060000300040210056187503000006790000019426780000035200000602194620049030004000020', '0');
INSERT INTO Puzzle values('150', 'easy', '150', '000030271003060000178000360005100480620584013041003500086000957000050100512040000', '0');
INSERT INTO Puzzle values('151', 'medium', '1', '003000040900000000018400650081530760605010402039026180067001820000000001090000500', '0');
INSERT INTO Puzzle values('152', 'medium', '2', '047000000081270409509008070020450003000010000400086010070800601302065940000000720', '0');
INSERT INTO Puzzle values('153', 'medium', '3', '305100082090038000000020006089012005006080100100750830600040000000270040840005201', '0');
INSERT INTO Puzzle values('154', 'medium', '4', '050620041001080060009501030000000870300705006017000000030409500080010600970056010', '0');
INSERT INTO Puzzle values('155', 'medium', '5', '070604050400900702350070004008001000030205010000300600600020081905008006010506030', '0');
INSERT INTO Puzzle values('156', 'medium', '6', '700980324000000000600704085060500040590060012030007060370208009000000000918045006', '0');
INSERT INTO Puzzle values('157', 'medium', '7', '800030509095406027003001008008000006000148000500000400700500800680709130301060002', '0');
INSERT INTO Puzzle values('158', 'medium', '8', '350800069008000000090654038005020070600030004070060800510983040000000900840006021', '0');
INSERT INTO Puzzle values('159', 'medium', '9', '500400092000507000021968004093050400000010000007080610800672350000805000270003009', '0');
INSERT INTO Puzzle values('160', 'medium', '10', '020609000090028000864000010182004500600010004005200381050000138000530060000907050', '0');
INSERT INTO Puzzle values('161', 'medium', '11', '010008500407009006086020090801500002090000010700001403070060180100400307003800040', '0');
INSERT INTO Puzzle values('162', 'medium', '12', '010060520000005040002040900003600495700932001968004300006090200090500000084020030', '0');
INSERT INTO Puzzle values('163', 'medium', '13', '086040000000001200001370509000023048005816900830790000203059800008600000000080370', '0');
INSERT INTO Puzzle values('164', 'medium', '14', '008037000056000000140500080090305071030102040610809020070001095000000460000750300', '0');
INSERT INTO Puzzle values('165', 'medium', '15', '700000260000400589000356000020600835007030400583009010000865000854003000032000008', '0');
INSERT INTO Puzzle values('166', 'medium', '16', '406010050352008060800060204000003000201000905000500000708030006040900328090050407', '0');
INSERT INTO Puzzle values('167', 'medium', '17', '482100300070020000050006270008260900000571000006038700041700090000040080007003542', '0');
INSERT INTO Puzzle values('168', 'medium', '18', '078000010500010400142006050001705300200000009004902500010600985009070004020000170', '0');
INSERT INTO Puzzle values('169', 'medium', '19', '500700246080340570700200010230000000010060090000000052050009004074053020321007005', '0');
INSERT INTO Puzzle values('170', 'medium', '20', '020000870061020590809071000000000080217080649030000000000140908094030260086000050', '0');
INSERT INTO Puzzle values('171', 'medium', '21', '302007801097400000100283000605009000000342000000600309000136008000008150208900706', '0');
INSERT INTO Puzzle values('172', 'medium', '22', '050001908401009003093006102000490030000000000040038000906800210500900304804100050', '0');
INSERT INTO Puzzle values('173', 'medium', '23', '080003000006010000350470802175000080920000056060000937609081073000050600000900010', '0');
INSERT INTO Puzzle values('174', 'medium', '24', '200000005000090427054002060008006012006248700520300600070900180489020000600000004', '0');
INSERT INTO Puzzle values('175', 'medium', '25', '700106908000450201000000054020001086003060500490500020910000000602039000305802009', '0');
INSERT INTO Puzzle values('176', 'medium', '26', '020903004000600032300804006280060300060030080001040069600307001410006000700401050', '0');
INSERT INTO Puzzle values('177', 'medium', '27', '001420093000070000004386020400000030085109240060000001030792400000010000140053800', '0');
INSERT INTO Puzzle values('178', 'medium', '28', '201006000034100000080900100026004008570602014900800260002009070000003820000200506', '0');
INSERT INTO Puzzle values('179', 'medium', '29', '002106470470000000080400203000604030003912500040308000804001020000000048026803900', '0');
INSERT INTO Puzzle values('180', 'medium', '30', '019450006857000000030100500005000408070682050906000200002004070000000629100029340', '0');
INSERT INTO Puzzle values('181', 'medium', '31', '058001200103000050200605000810040007004357100700010024000109005060000903009500710', '0');
INSERT INTO Puzzle values('182', 'medium', '32', '007000040008000300921406850095800100300050009006009580043205978009000400010000600', '0');
INSERT INTO Puzzle values('183', 'medium', '33', '090008305005009000768000000000261457200080009517493000000000548000500900904800070', '0');
INSERT INTO Puzzle values('184', 'medium', '34', '000905630930000007480060000003200098700439002120006700000090076800000025064307000', '0');
INSERT INTO Puzzle values('185', 'medium', '35', '608000103003840027270030000900000000460283015000000002000010058850097300106000709', '0');
INSERT INTO Puzzle values('186', 'medium', '36', '001000826250040093000620070020000930008070500073000010090036000560090081832000600', '0');
INSERT INTO Puzzle values('187', 'medium', '37', '800350000009007000600900201406120070950040012010095608508002007000800500000019003', '0');
INSERT INTO Puzzle values('188', 'medium', '38', '960700000000024068048000007000900185096080740183007000800000270210670000000002031', '0');
INSERT INTO Puzzle values('189', 'medium', '39', '972100080060200001000009200003002809090705040607400500009500000400001020020003754', '0');
INSERT INTO Puzzle values('190', 'medium', '40', '045038700806504020000200000050006074400000009760800050000005000080603407007480310', '0');
INSERT INTO Puzzle values('191', 'medium', '41', '000940010905023000463000000240000608008564200306000094000000542000810907070032000', '0');
INSERT INTO Puzzle values('192', 'medium', '42', '406510300900800070000090054300400610600030007085001003160080000030007009008024701', '0');
INSERT INTO Puzzle values('193', 'medium', '43', '430060700021007000050000000503071648800030007176480305000000080000800470004020063', '0');
INSERT INTO Puzzle values('194', 'medium', '44', '050009010060050800002803047000512000580000092000986000310608200004090080020700060', '0');
INSERT INTO Puzzle values('195', 'medium', '45', '062090500900000001840100090098070030450060078020080960030008056700000003004030820', '0');
INSERT INTO Puzzle values('196', 'medium', '46', '180200050007000000005807124400601009006080500800302001561408200000000800020005016', '0');
INSERT INTO Puzzle values('197', 'medium', '47', '700230910000005000006400025009080054075010680410060300960008500000300000043059001', '0');
INSERT INTO Puzzle values('198', 'medium', '48', '150007060007000090084050703908705200000080000002903807401070380020000500070300046', '0');
INSERT INTO Puzzle values('199', 'medium', '49', '905000800020050040843620900000010009010485070700090000006037194070040060004000702', '0');
INSERT INTO Puzzle values('200', 'medium', '50', '000000000467053000030871094804000160050040080091000407280514030000390248000000000', '0');
INSERT INTO Puzzle values('201', 'medium', '51', '800010060010006050002947080290005000070632040000400027020758600080200010050090008', '0');
INSERT INTO Puzzle values('202', 'medium', '52', '000050802005084000090003601917040020006010400080090165109400080000760500508020000', '0');
INSERT INTO Puzzle values('203', 'medium', '53', '160902080870001200203070000010700004000305000500008030000080105008400072020503098', '0');
INSERT INTO Puzzle values('204', 'medium', '54', '000500700706028000400106820050000103300851002102000040043702006000690405007005000', '0');
INSERT INTO Puzzle values('205', 'medium', '55', '000700302543000007000005694072000941000010000184000260239600000400000139805007000', '0');
INSERT INTO Puzzle values('206', 'medium', '56', '003005800501030060090806305039008000070060020000200980305607090060020108008500700', '0');
INSERT INTO Puzzle values('207', 'medium', '57', '000200380001500009703089012090000103080070020102000060650720401200004800014008000', '0');
INSERT INTO Puzzle values('208', 'medium', '58', '070309500600700300050081074400000601001030800705000002140860020002003008006907040', '0');
INSERT INTO Puzzle values('209', 'medium', '59', '050093000024100093890040000640010900300000005009020034000030071270001380000780060', '0');
INSERT INTO Puzzle values('210', 'medium', '60', '070060035005700004040350000500206300209030407003907002000072050700005800150080070', '0');
INSERT INTO Puzzle values('211', 'medium', '61', '090000068106009005000600410070051003060327080500860020048005000700100806350000090', '0');
INSERT INTO Puzzle values('212', 'medium', '62', '060250300301709020200000081800306070000090000030804002480000007090607208002018030', '0');
INSERT INTO Puzzle values('213', 'medium', '63', '000790201000400000090001640683005720900000005057200169061800050000004000305062000', '0');
INSERT INTO Puzzle values('214', 'medium', '64', '000009025950040008200007630009003050500974006060500100075200003400030062390400000', '0');
INSERT INTO Puzzle values('215', 'medium', '65', '000004082240850906000702004000009023009070600730600000300408000104027039590300000', '0');
INSERT INTO Puzzle values('216', 'medium', '66', '000002835030650092000030400200900073300040009150003008005060000690075080813200000', '0');
INSERT INTO Puzzle values('217', 'medium', '67', '031009000070030294024500030050043000006010500000780060090007180162090040000100320', '0');
INSERT INTO Puzzle values('218', 'medium', '68', '000590040810360020000000600500209060027643180030805002004000000070028019050031000', '0');
INSERT INTO Puzzle values('219', 'medium', '69', '000203700901500002000070004500067090610829053020130008200050000100002307006301000', '0');
INSERT INTO Puzzle values('220', 'medium', '70', '090000300003082700002030010709003006234060897100700405060050200001270900007000060', '0');
INSERT INTO Puzzle values('221', 'medium', '71', '002003569090075800450006003000007280000080000047300000300100054004750010581600900', '0');
INSERT INTO Puzzle values('222', 'medium', '72', '600070008800090010000804302100200500385060241009001003406907000070050006200030004', '0');
INSERT INTO Puzzle values('223', 'medium', '73', '700020300100040009900805070609700103003000200201003507010604002500070001004090008', '0');
INSERT INTO Puzzle values('224', 'medium', '74', '010038000003900201000004078604001800030485060008600407940300000207009500000560020', '0');
INSERT INTO Puzzle values('225', 'medium', '75', '000390560300600800050807300100400050605020408030006009003208070004003005082054000', '0');
INSERT INTO Puzzle values('226', 'medium', '76', '364270010008600007500003040790000200000952000003000095050700002200004600080029451', '0');
INSERT INTO Puzzle values('227', 'medium', '77', '150900700800300004000000080420100650098605140061004092080000000900007003004009015', '0');
INSERT INTO Puzzle values('228', 'medium', '78', '006809050007360104000001009020000976001090200379000040800600000702058400090703600', '0');
INSERT INTO Puzzle values('229', 'medium', '79', '170800900000067000602040100503000761004050200296000405009070304000930000007008059', '0');
INSERT INTO Puzzle values('230', 'medium', '80', '001024389600090700000000600083001900010432060006900230008000000007010006564370100', '0');
INSERT INTO Puzzle values('231', 'medium', '81', '310960000400000230005000108140092000050687040000410072704000800069000005000036094', '0');
INSERT INTO Puzzle values('232', 'medium', '82', '000900600706283040000405702005000304020000060809000500201809000090571208008002000', '0');
INSERT INTO Puzzle values('233', 'medium', '83', '000005100080702900625140000800500009006478200400001006000093471007604090009800000', '0');
INSERT INTO Puzzle values('234', 'medium', '84', '705890000800010900001603000436000210009020500082000347000105800004080002000036704', '0');
INSERT INTO Puzzle values('235', 'medium', '85', '500800400000506907630000205900678000700000001000193006806000072307905000001007009', '0');
INSERT INTO Puzzle values('236', 'medium', '86', '300602000060000048000170600607500800830206017002007903008063000120000070000401009', '0');
INSERT INTO Puzzle values('237', 'medium', '87', '000000091010732040002000000079103082004907100120405970000000800030618020860000000', '0');
INSERT INTO Puzzle values('238', 'medium', '88', '600407800410060057000010642300000470000000000086000001549070000820090034003801005', '0');
INSERT INTO Puzzle values('239', 'medium', '89', '000900605600007020100005800804200710012070450075004206008500002090400001501006000', '0');
INSERT INTO Puzzle values('240', 'medium', '90', '086500400050040000090200030940638007070000080300719046010006050000070090004005260', '0');
